编号,设计用途/高度（均待确认）,X_mm,Y_mm
E01,强电箱 H1800,9231,6570
E02,弱电箱 H300,8642,6570
E03,过道备用 H300,7660,6648
E04,冰箱16A H500,4321,9516
E05,蒸烤16A×2 H500/1300,4321,8730
E06,洗烘16A×2 H1300,4321,8043
E07,TV位 插座×3+网口+TV H350,5676,1345
E08,边几 H300,8445,3015
E09,沙发侧 H300,9084,462
E10,餐边柜 台面×2 H1100,5843,3162
E11,餐边高柜 H300,5843,4684
E12,台面插座×3 H1200,2750,11529
E13,台面插座×2 H1200,4321,11529
E14,烟机 H2100,5352,11529
E15,水槽下×2 H500(净水/洗碗预留),2210,10232
E16,床头五孔×2+USB H700,5470,3899
E17,床头五孔×2+USB H700,5470,2622
E18,梳妆/阅读台 ×2 H900,3388,756
E19,镜前 H900,4910,1660
E20,挂烫/熨斗 H1100,1375,2367
E21,床头五孔×2 H700,9329,8956
E22,床头五孔×2 H700,9329,7728
E23,矮柜 插座×2+网口 H350,8347,7041
E24,床头五孔×2 H700,12255,3702
E25,床头五孔×2 H700,12255,2867
E26,书桌×3+网口 H900,10311,903
E27,智能马桶16A H400,2160,7974
E28,台盆防水 H1300,2828,7453
E29,智能马桶16A H400,982,5784
E30,台盆防水 H1300,835,5322
E31,电热毛巾架 H1300 待确认,1915,6255
E32,玄关开关(客餐厅双控),9133,6304
E33,老人房开关+线控,6039,6795
E34,儿童房开关+线控,9525,5224
E35,主卧开关+线控,5283,5322
E36,衣帽区开关,2111,2602
E37,主卫开关,1885,4979
E38,次卫开关,3653,6766
E39,厨房开关,3830,10007
E40,过道双控B,4959,5322
