编号,设计用途/高度（均待确认）,X_mm,Y_mm
P01,台盆 冷热H450 排水H300(墙排待确认),2406,7453
P02,马桶 给水H200,2426,8347
P03,马桶排污 坑距300/400待确认,2308,8219
P04,淋浴 冷热H1050,2730,9516
P05,淋浴地漏 DN50,2651,9005
P06,干区地漏 DN50,3339,7237
P07,台盆 冷热H450 排水H300(墙排待确认),491,5322
P08,马桶 给水H200,491,6108
P09,马桶排污 坑距300/400待确认,373,6010
P10,淋浴 冷热H1050,638,7237
P11,淋浴地漏 DN50,393,6845
P12,浴缸 冷热H500+排水,1571,7090
P13,浴缸地漏/排水,1718,6795
P14,水槽 冷热H450 排水H300,2435,10498
P15,净水/洗碗机排水预留,2210,10183
P16,燃气热水器位 冷热+排烟 待确认,4007,11480
P17,洗衣机 冷H1100+排水；干衣排水待确认,4203,8072
P18,原阳台地漏 存废待确认,4026,412
P19,原阳台地漏 存废待确认,10802,412
